Município;Telefone da Prefeitura;Secretaria de Assistência Social;Secretário(a);Contato da Secretaria;Endereço da Secretaria;Site da Prefeitura;Status do dado;Fonte;Observação
Anápolis;(62) 3902-1250 Ramal 1055;Secretaria Municipal de Assistência e Políticas Sociais.;Jackeline Silva Macedo;(62) 3902-2586;AVENIDA Brasil, 200, CENTRO, CEP: 75.000-000, ANAPOLIS/GO;http://www.anapolis.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Aparecida de Goiânia;(62) 3238-7228;SECRETARIA DE ASSISTÊNCIA SOCIAL;Carolina Tavares Araújo;(62) 3545-5970 Ramal 1264;AVENIDA B, 0, ARAGUAIA, CEP: 74.981-150, APARECIDA DE GOIANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Aparecida do Rio Doce;(64) 3637-1443;SECRETARIA MUNICIPAL PROMOCAO E ASSISTENCIA SOCIAL;Patrícia Garcia de Queiroz;(64) 3637-1483;RUA Eduardo Siqueira, 00, Conjunto Dona Antonia Fernandes, CEP: 75.827-000, APARECIDA DO RIO DOCE/GO;-;Confirmado via web;CadSUAS + https://www-storage.voxtecnologia.com.br/?m=sigpub.publicacao&f=3392&i=publicado_106623_2025-08-01_7b47596f370431e292a4351590e2d1ee.pdf;2025-08 — Ato Declaratório de Dispensa de Licitação nº 019/2025-FMAS (30/07/2025), publicado no Diário Municipal de Goiás/AGM ed. 04/08/2025, é assinado por Patrícia Garcia de Queiroz como 'Secretária/Gestora' da Secretaria Municipal de Promoção e Assistência Social — mesma pessoa do CadSUAS, ativa na gestão 2025.
Aporé;(64) 3644-1270;Secretaria Municipal Assistência Social;Giovana Vasconcelos de Freitas;(64) 3644-1114;RUA Ary Pimenta, 151, centro, CEP: 75.825-000, APORE/GO;-;CadSUAS (gestão atual);CadSUAS;
Aragarças;(64) 3638-2475;SECRETARIA MUNICIPAL DE ACAO SOCIAL;Raqueline Souza Rocha Galvão;(64) 3638-1922 / assistenciasocial@aragarcas.go.gov.br;RUA GETULI VARGAS, 680, SETOR ADMINISTRATIVO, CEP: 76.240-000, ARAGARCAS/GO;-;Confirmado via web;CadSUAS + https://rededanoticia.com.br/coegemas-go-raqueline-galvao-e-empossada-como-presidente-do-conselho-fiscal-e-coordenadora-da-regiao-oeste-1-de-goias;"2025-02 — Notícia de 13/02/2025 a cita como 'Secretária de Ação Social de Aragarças' e primeira-dama; o prefeito Ricardo Galvão foi reeleito (gestão 2025/2028) e ela segue na pasta, aparecendo em notícias de 2025-2026 (Araguaia Notícia). O e-mail institucional consta da página 'Assistência Social' indexada do site oficial aragarcas.go.gov.br, mas a URL retornou 404 no acesso direto em 11/08/2026."
Aragoiânia;(62) 3550-1501;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Neuza Maria Rios;(62) 3550-1501;PRAÇA Santa Luzia, 37, CENTRO, CEP: 75.330-000, ARAGOIANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Araguapaz;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;LUCIMAR FABINO NETO DA SILVA;Oculto para proteção de dados (LGPD);AVENIDA GOIÁS, 415, CENTRO, CEP: 76.720-106, ARAGUAPAZ/GO;http://www.araguapaz.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Araçu;(62) 3527-1263 Ramal 0;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;DANIELE DE CÁSSIA COSTA;Oculto para proteção de dados (LGPD);PRAÇA 14 de novembro, 0, Centro, CEP: 75.410-000, ARACU/GO;-;Confirmado via web;CadSUAS + https://aracu.go.gov.br/estrutura-organizacional/;"2026-08 — Site oficial da gestão atual (prefeito Milton Lemes de Paula, eleito em 2024 — gestão 2025/2028; acessado em 11/08/2026) lista Daniele de Cássia Costa como Secretária de Assistência Social — mesma pessoa do CadSUAS. Contatos publicados na página são os gerais da prefeitura ((62) 3527-1481 / prefeitura@aracu.go.gov.br), sem canal exclusivo da secretaria."
Arenópolis;(64) 3667-1166;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;CICERA PACHECO DE ARAUJO;(64) 3667-1166 Ramal 234;RUA Gabriel Raimundo de Sousa, 555, Centro, CEP: 76.235-000, ARENOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Aruanã;(62) 3030--0159;SECRETARIA MUNICIPAL DE AÇÃO SOCIAL;IVONE ALVES DO NASCIMENTO BARBOSA;Oculto para proteção de dados (LGPD);RUA Agostinho de Melo Q27 L23 CASA 2, 221, CENTRO, CEP: 76.710-000, ARUANA/GO;http://www.aruana.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Aurilândia;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;GISELLE MORAES DE SOUZA;Oculto para proteção de dados (LGPD);AVENIDA CAPITAO JOAO GOMES PORTO, 0, CENTRO, CEP: 76.120-000, AURILANDIA/GO;http://prefeituradeaurilandia.gov.br;CadSUAS (gestão atual);CadSUAS;
Avelinópolis;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;FABIANNE BUENO SILVA;Oculto para proteção de dados (LGPD);AVENIDA AVENIDA MATO GROSSO, S/N, CENTRO, CEP: 75.395-000, AVELINOPOLIS/GO;http://www.avelinopolis.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Baliza;(64) 3660-1096;SECRETARIA MUNICIPAL DE ASSITENCIA SOCIAL;Clemarcia Gomes Torres;(64) 3660-1052 Ramal 211;PRAÇA DA MATRIZ, 138, Centro, CEP: 76.250-000, BALIZA/GO;-;CadSUAS (gestão atual);CadSUAS;
Barro Alto;(62) 3347-6575 Ramal 205;SECRETARIA MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;Ana Caroline Rosa Godinho;(62) 8534-6624;AVENIDA GOIAS, 00, CENTRO, CEP: 76.390-000, BARRO ALTO/GO;-;CadSUAS (gestão atual);CadSUAS;
Bela Vista de Goiás;(62) 3551-7012;Secretaria Municipal de Ação e Promoção Social;SAULA APARECIDA DO CARMO;(62) 3551-7015;AVENIDA Av José Pontes, 0, São Jorge, CEP: 75.240-000, BELA VISTA DE GOIAS/GO;http://www.belavista.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Bom Jardim de Goiás;(64) 3657-1390 Ramal 12;PM -SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;SUZIE RODRIGUES LIMA NAVARINE;(64) 3657-1390 Ramal 12;PRAÇA JOSÉ BENJAMIM, S/N, CENTRO, CEP: 76.245-000, BOM JARDIM DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Bom Jesus de Goiás;(64) 3608-6018 Ramal 6018;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Carolina Silva Miquilino;(64) 3608-8971;RUA 01, 195, CENTRO, CEP: 75.570-000, BOM JESUS DE GOIAS/GO;http://www.bomjesus.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Bonfinópolis;(62) 3334-1144;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, TRABALHO E HABITAÇÃO;LÚCIA APARECIDA DE CARVALHO;(62) 3334-1144;AVENIDA 01, esq. c/Rua 05, 594, CENTRO, CEP: 75.195-000, BONFINOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Bonópolis;(62) 3393-1126;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ELIZAMA CRISTINA VIEIRA ARAUJO;"(62) 3393-1161 / (62) 98590-5647 / (62) 3393-1161; assistenciasocialbonopolis@hotmail.com";AVENIDA INDEPENDÊNCIA, s/n, centro, CEP: 76.555-000, BONOPOLIS/GO;-;Confirmado via web;CadSUAS + https://www.bonopolis.go.gov.br/estrutura_organizacional?id=70;2026-08 — Site oficial (estrutura organizacional, acessado em 11/08/2026) a lista como secretária. Notícias de 2025 do Portal SR (portalsr.com.br) a citam como secretária de Assistência Social e primeira-dama, esposa do prefeito Dioclécio Araújo, indicando continuidade na gestão 2025-2028.
Brazabrantes;(62) 3529-1113;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;NEUMA GONÇALVES DE SOUZA MACHADO;Oculto para proteção de dados (LGPD);AVENIDA Aureliano Caetano Machado, 713, Setor Centro, CEP: 75.440-000, BRAZABRANTES/GO;-;CadSUAS (gestão atual);CadSUAS;
Britânia;(62) 3383-1233;Secretaria Municipal de Assistência Social;Nádya Sales Assunção;Oculto para proteção de dados (LGPD);AVENIDA PERIMETRAL, 0, centro, CEP: 76.280-000, BRITANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Buriti Alegre;(64) 3444-9900 Ramal 9911;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Luciana Ferreira Barbosa Santana;(64) 3444-2049;RUA RUA 24 DE JUNHO, 1155, centro, CEP: 75.660-000, BURITI ALEGRE/GO;http://www.buritialegre.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Buriti de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MARCIO BORGES DE SOUSA;Oculto para proteção de dados (LGPD);AVENIDA AVENIDA DEPUTADO SOLON AMARAL, 1154, CENTRO, CEP: 76.152-000, BURITI DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Buritinópolis;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Noemia de Jesus Costa;Oculto para proteção de dados (LGPD);PRAÇA Praça dos Poderes, 33, CENTRO, CEP: 73.975-000, BURITINOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Cabeceiras;(61) 3636-1467;SECRETARIA MUNICIPAL DE PROMOÇÃO SOCIAL, TRABALHO E HABITAÇÃO;YVI TELES SALVADOR;(61) 3636-1467;AVENIDA Vicente de Paula Souza, 0, St. João Amélia, CEP: 73.870-000, CABECEIRAS/GO;https://cabeceiras.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Cachoeira Alta;(64) 3654-1417 Ramal 207;SECRETARIA MUNICIPAL DE PROMOCAO E ASSISTENCIA SOCIAL;VIRGINIA ROSA CUNHA;"(64) 3654-1417 / (64) 99971-2920 (secretaria, publicado no site oficial); (64) 3654-1175; assistenciasocial@cachoeiraalta.go.gov.br";PRAÇA ADELINO PAULA DE OLIVEIRA, 116, CENTRO, CEP: 75.870-000, CACHOEIRA ALTA/GO;-;Confirmado via web;CadSUAS + https://cachoeiraalta.go.gov.br/estrutura-organizacional;2026-08 — Estrutura organizacional oficial da gestão 2025/2028 lista Virginia Rosa Cunha como responsável pela Secretaria de Promoção Social, Cidadania, Trabalho e Ação Social — mesma pessoa do CadSUAS. Atenção: uma página antiga da plataforma do site (centi.com.br) atribui a pasta a Weslaine Alves da Mata, mas na gestão atual Weslaine é a secretária de Saúde e Bem-Estar Social.
Cachoeira Dourada;(64) 3434-9700 Ramal 9701;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTÊNCIA SOCIAL;Rosangela Fernanda Lira Souza;(64) 3434-1337;RUA Quioto, 360, Setor Suleste, CEP: 75.560-084, CACHOEIRA DOURADA/GO;-;CadSUAS (gestão atual);CadSUAS;
Cachoeira de Goiás;(64) 3676-1122;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;PRISCILA LAZARA JACINTO DOS SANTOS;(64) 3676-1228;PRAÇA VEREADOR OROZIMBO VIEIRA DESOUZA, 0, CENTRO, CEP: 76.125-000, CACHOEIRA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Caiapônia;(64) 3663-1025;SECRETARIA MUNICIPAL DE ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;Bianca Cruvinel Cotrim Santos;Oculto para proteção de dados (LGPD);RUA ANA VILELA DE SOUZA LIMA, 04, CENTRO, CEP: 75.850-000, CAIAPONIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Caldas Novas;(64) 3454-3500;SECRETARIA MUNICIPAL DE AÇÃO SOCIAL E MELHOR IDADE;MARCIA LOPES VERISSIMO MARRA;"Oculto para proteção de dados (LGPD) / (64) 99294-2092 (WhatsApp e ligações); acaosocial@caldasnovas.go.gov.br";AVENIDA AVENIDA C QUADRA 43 LOTE 29, 0, Estância Itanhangá I, CEP: 75.680-354, CALDAS NOVAS/GO;http://www.caldasnovas.go.gov.br;Confirmado via web;CadSUAS + https://www.caldasnovas.go.gov.br/estrutura/secretaria-municipal-de-acao-social-e-melhor-idade/;"2026-08 — Página oficial da Secretaria Municipal de Ação Social e Melhor Idade (gestão 2025-2028) a lista como titular; documentos municipais de 2025 (edital de seleção da SMASMI) também a citam. Mesma pessoa do CadSUAS ('Marcia Lopes Verissimo Marra', grafia com acento no site)."
Caldazinha;(62) 3561-1128 Ramal 206;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Camila Estefanny Braga;(62) 3561-1128 Ramal 217;AVENIDA AV. BERNARDO SAYÃO, 476, CENTRO, CEP: 75.245-000, CALDAZINHA/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;A página oficial da Secretaria Municipal de Assistência Social e Habitação (caldazinha.go.gov.br/estrutura/secretaria-municipal-de-assistencia-social-e-habitacao/) não publica o nome do titular, e as buscas não retornaram nenhuma fonte de 2025-2026 confirmando ou substituindo Camila Estefanny Braga. Contato geral da prefeitura: (62) 9 9214-9467 (WhatsApp), prefeitura@caldazinha.go.gov.br. Mantém-se o registro do CadSUAS.
Campestre de Goiás;(62) 3557-1177;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Marineide Alves de Souza Guimarães;Oculto para proteção de dados (LGPD);RUA São Paulo esq. com a Av. BRASIL, SN, CENTRO, CEP: 75.396-000, CAMPESTRE DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Campinaçu;(62) 3377-3287;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Kely Aleixo Silva;(62) 3377-3315;AVENIDA 31 de março, 00, Centro, CEP: 76.440-000, CAMPINACU/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;O site oficial (campinacu.go.gov.br) não publica nomes de secretários na estrutura organizacional (página atualizada em 08/2026, mas sem titulares). Novo prefeito Douglas Adyel Ribeiro de Faria assumiu em 2025. Kely Aleixo Silva aparece apenas em registro eleitoral do TRE-GO (União Brasil de Campinaçu, fev/2026), o que não confirma nem nega o cargo. Mantém-se o registro do CadSUAS.
Campinorte;(62) 3347-3281 Ramal 0;Secretaria Municipal de Assistencia Social;Marcia Gomes Patriota;Oculto para proteção de dados (LGPD);AVENIDA Av. central esquina com rua campinas, 204, Centro, CEP: 76.410-000, CAMPINORTE/GO;-;CadSUAS (gestão atual);CadSUAS;
Campo Alegre de Goiás;(64) 3926-3000 Ramal 3030;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Michele Antônio da Silva;Oculto para proteção de dados (LGPD);RUA Moacir Costa, 150, Ceu Azul, CEP: 75.795-000, CAMPO ALEGRE DE GOIAS/GO;http://www.campoalegre.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Campo Limpo de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;ELIZAMA PEREIRA DE MELO;"(62) 3345-1468 / (62) 99512-4829; assistenciasocialcampolimpo@gmail.com (Departamento de Assistência Social, site oficial)";AVENIDA Rua Benvida Gomes da Silva, 45, SOL DE VERAO, CEP: 75.160-000, CAMPO LIMPO DE GOIAS/GO;http://www.campolimpodegoias.go.gov.br;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;O site oficial atual lista Giselle Alves Pereira como 'responsável' do Departamento de Assistência Social (campolimpodegoias.go.gov.br/estrutura/secretaria-de-assistencia-social-semas-2/departamento-de-assistencia-social/), mas não nomeia o(a) titular da Secretaria (SEMAS). Elizama Pereira de Melo (CadSUAS) não aparece em nenhuma página atual do site. Nova prefeita Graciele Marta do Nascimento (gestão 2025-2028) sugere possível troca, porém sem fonte 2025+ nomeando o(a) secretário(a) — não é possível declarar divergência.
Campos Belos;(62) 3451-1403;SECRETARIA DE ACAO SOCIAL, CIDADANIA, JUVENTUDE E TRABALHO;TATHYANE PRICINOTE BATISTA;"Oculto para proteção de dados (LGPD) / (62) 9 9653-0055; acaosocial@camposbelos.go.gov.br";AVENIDA Das Indústrias, S/N, ST. INDUSTRIAL, CEP: 73.840-000, CAMPOS BELOS/GO;-;Confirmado via web;CadSUAS + https://camposbelos.go.gov.br/portal/secretarias/;"2026-08 — Página oficial de secretarias (portal com rodapé 'gestão 2025/2028') a lista como titular da Secretaria de Ação Social, Cidadania, Juventude e Trabalho. Ela é primeira-dama (esposa do prefeito reeleito Pablo Geovani). Houve exoneração formal em dez/2024 (praxe de fim de mandato) com recondução na nova gestão; segue ativa em notícias de jan-fev/2026 (Goiás Social em Campos Belos)."
Campos Verdes;(62) 3351-6512;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Rosalina Veríssimo de Oliveira;(62) 3351-6643;AVENIDA Rua 4,, 01, Parque das Esmeraldas, CEP: 76.515-000, CAMPOS VERDES/GO;-;CadSUAS (gestão atual);CadSUAS;
Carmo do Rio Verde;(62) 3337-6650;SECRETARIA DE PROMOÇÃO SOCIAL;ELLIDA BORGES DE ALMEIDA;(62) 3337-6946;PRAÇA ALFREDO NASSER, 05, CENTRO, CEP: 76.340-000, CARMO DO RIO VERDE/GO;-;CadSUAS (gestão atual);CadSUAS;
Castelândia;(64) 3649-1140 Ramal 208;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MURIELLY MARTINS DE OLIVEIRA SILVA;(64) 3649-1140 Ramal 220;AVENIDA RIO VERDE, 1910, CENTRO, CEP: 75.925-000, CASTELANDIA/GO;http://www.castelandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Catalão;(64) 3441-5000 Ramal 207;SECRETARIA MUNICIPAL DE PROMOÇÃO E AÇÃO SOCIAL;NEUSIMAR TEODORA DA SILVA RIOS;(64) 3441-1383;RUA TENENTE CEL. JOÃO CERQUEIRA NETO, 00, JARDIM PRIMAVERA, CEP: 75.705-770, CATALAO/GO;-;CadSUAS (gestão atual);CadSUAS;
Caturaí;(62) 3528-1130 Ramal 0;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Juliely de Paula Silva Moura;(62) 3528-1442;AVENIDA OSVALDO MAIA, 443, CENTRO, CEP: 75.430-082, CATURAI/GO;-;CadSUAS (gestão atual);CadSUAS;
Cavalcante;(62) 3494-1399;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Luceni dos Santos Rosa;"(62) 3494-1423 / (62) 99641-0779 (telefone/WhatsApp); assistenciasocial@cavalcante.go.gov.br";RUA Rua Cristã, 11, Centro, CEP: 73.790-000, CAVALCANTE/GO;-;Confirmado via web;CadSUAS + https://cavalcante.go.gov.br/estrutura/secretaria-municipal-de-assistencia-social-2/;2026-08 — Página oficial da Secretaria Municipal de Assistência Social (acessada em 11/08/2026, em site ativo com publicações de 2026) a apresenta como secretária atual — mesma pessoa do CadSUAS.
Caçu;(64) 3656-6000 Ramal 6000;SECRETARIA MUNICIPAL DE ACAO E PROMOCAO SOCIAL DE CACU;Cíntia Camargo Eugênio Morais;Oculto para proteção de dados (LGPD);RUA CORONEL MANOEL INÁCIO, 660, CENTRO, CEP: 75.813-000, CACU/GO;-;CadSUAS (gestão atual);CadSUAS;
Ceres;(62) 3307-7600 Ramal 221;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;LINDALVA FERNANDES ALVES BORGES;(62) 3307-7621 Ramal 000;PRAÇA civica, 00, centro, CEP: 76.300-000, CERES/GO;http://www.ceres.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Cezarina;(64) 3543-6004;Secretaria Municipal de Ação Social e Cidadania;Ozilene Rubim Melo Bezerra Silva;(64) 3543-1842;RUA Artur F. Costa, 0, Centro, CEP: 76.195-000, CEZARINA/GO;-;CadSUAS (gestão atual);CadSUAS;
Chapadão do Céu;(64) 3634-1228;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Sonia Maria Peres e Souza Lara Pena;(64) 3634-1844;RUA CARAIBA LESTE, ESQUINA C/ RUA R 1 SUL, 685, MORADA DO SOL, CEP: 75.828-000, CHAPADAO DO CEU/GO;-;CadSUAS (gestão atual);CadSUAS;
Cidade Ocidental;(61) 3625-1322;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;JOSILENE SANTOS OLIVEIRA;(61) 3605-3695;QUADRA SUPER QUADRA 10 QUADRA 08 LOTE 45A AREA ESPECIAL, 45, CENTRO, CEP: 72.880-970, CIDADE OCIDENTAL/GO;-;CadSUAS (gestão atual);CadSUAS;
